Bahasa Ambon,English
potong pusa,vi. sever the umbilical cord.
potongang,"n. cut, form, fashion. Also modeel."
prong,vt. see fronk.
pronk,vt. see fronk.
proop,"n. cork, stopper, plug. v. (vulgar) eat."
puasa,v. fast.
puel,see soa-soa.
puki,n. vagina.
pukul,"v. 1. strike, beat. 2. (of certain predatory fish) engage in a feeding frenzy. cf. toki, tumbu."
pul,"n. and adj. In number construction, ten. Sapul satu, eleven. Duapul satu, twenty-one. Etc."
pula-pula,n. awl (the tool).
pulo,n. island.
pulong,n. less aromatic cloves harvested late in the season. (from an internet site)
pung,det. possessive marker. Beta pung kaki. = My foot.
punggul,v. 1. find lying on the ground. Dia punggul uang. = He found some money lying on the ground. 2. gather. Dong ada pii punggul kanari. = They have gone gathering kanari nuts.
punya,see pung.
pura-pura,v. pretend. adj. make-believe.
pusa,n. navel.
pusa gong,adj. having a large navel.
putar,"v. turn, twist."
putar bale,"v. tell a lie, twist the truth. adj. lying."
putar panta,adv. showing off buttocks and hips. Bajalang putar panta kiri-kanang. Walk twisting the buttocks left and right.
putrii,"n. 1. princess. 2. nymph, water sprite."
puup,"n. feces. v. defecate, defecate upon."
puus,"n. pussycat. Sapa pung puus = who the Hell? cf. kucing, tusa."
raba,"v. 1. examine tactually. Dia raba isi parang kata tajang ka seng. = He felt of the sword blade to see if it was sharp. 2. grope, fondle. Mantri itu suka raba paseen parampuang di ruma saki = That male nurse is in the habit of groping female patients in the hospital. adv. by touch or by instinct. Dia bajalang raba di dalang utang. = He groped his way (during daytime) through the forest (not knowing his way). Dia bajalang raba dalang kamar. = He groped his way in the darkened room."
rabana,n. a kind of bowl-shaped musical drum. cf. tifa.
rabe,v. tear. Also robe.
Rabo,see Rabu.
rabu,adv. in a hurry. Ambil ini rabu. = Take this quickly.
Rabu,n. wednesday.
raci,"vt. sting with hot peppers. Ontua raci an-ana pung mulu-mulu deng cili padi, She smeared the children's mouths with cili padi [juice]."
racong,n. v. poison.
radio,n. radio.
rae,v. guess. Co se rae kata ini beta mao ka mana. = Guess where I am going. adj. (smelling) of fish?
rai,see rae.
raja,"n. A title given to certain village chiefs. cf. orang kaya, kapala kampong, marinyo, maweng, kewang, kapitang."
raja bao,n. see ikang raja bao.
rajing,"adj. energetic, industrious, hard working"
ramas,v. squeeze with the fingers or the hand (as to extract fluid).
rambu,n. 1. hair of the head. 2. numerical coefficient for stalks of bananas.
rambu kapala,n. hair of the head.
rambutang,see pohong rambutang.
rame,adj. 1. happy. 2. crowded with people. v. (of a party) be lively.
rame-rame,n. festive gathering. adv. together.
ramedi,vt. prepare to.
rampa,"n. spice, seasoning."
rangsel,n. rucksack. Also persak
rante,n. 1. chain. 2. chain necklace. v. chain.
rao,"v. hold close to the fire, as rattan for bending or as an animal in order to singe off its fur."
rasa,"v. feel. Beta cubi, se rasa kaseng? = Do you feel it when I pinch you? Ontua rasa sanaang. = He felt happy."
rasa-rasa,adv. (Especially of things that hurt deeply) feel as if. Rasa-rasa katong mau mati saja. It felt as if we would die.
rata,"adj. level, even."
rata-rata,adv. 1. evenly. 2. in general.
ratus,n. and adj. hundred.
ratusang,n. and adj. hundreds.
rau,see rao.
rawa-rawa,n. swamp.
rebeng,n. sunglasses.
redi,n. a kind of large net used for dragging fish ashore.
regel,n. hardwood rail supporting the boards of a wooden bed.
rei,"n. row, array."
rekeng,v. 1. count. Dia ada rekeng kepeng. = She is counting money. 2. consider. Jang rekeng dia lae. = Don't bother considering him. Rekeng dia su mati tu jua. = Considerhim dead.
rem,n. v. brake.
rembeng,v. carry slung from the hand. cf. tabembeng.
renda,n. lace.
renda-renda,adj. lacy.
renet,n. grass nest made by wild boar.
reng,n. mechanical ring of any kind.
rengke-rengke,"adv. in great clusters, like fruit. Ontua pung ana barengke-rengke. = He had great numbers of children."
retsleteng,n. zipper.
reu-reu,adj. forgetful due to senility.
ribu,n. thousand.
ribuang,n. and adj. thousands.
rico,"n. trouble. v. be disorderly, make trouble."
rigi-rigi,adj. serrated.
riim,n. belt.
roas,"n. section (of bamboo, sugar cane, etc.)."
roba,v. alter. Also oba.
robe,v. tear. Also rabe
roda gila,n. flywheel.
rofol,v. strum (the guitar) using first and fourth finger and thumb in a roll.
roko,n. cigarette.
romiang,"adj. just for fun. Jang talalu romiang, Don't just do things for fun all the time. Jadi romiang, (It) turned into something just for fun (with no serious purpose) -- Roy Sekewael (Oma only)."
ron,adv. around.
ronda,"v. go for a walk, go touring."
ronggeng,n. A traditional dance said to be of Javanese origin.
rook,n. skirt.
rook mini,n. miniskirt
rool,"n. roll, as for/of a fishing line. v. tell stories, ""talk story."""
roon,adv. around. Ontua suka bajalang roon. = He likes to walk around. prp. around. Nanti beta bajalang roon akang. = I will go around it.
rotang,n. 1. rattan. 2. the rod of punishment.
rotang aer,n. A large but easily snapped rattan.
rotang kawat,n. A fine but strong rattan.
rotang tuni,n. A very strong rattan.
roti,"n. bread of any size, shape, or sweetness. cf. broot."
roti kacang,n. bread baked with sugar and peanut butter inside.
roti keju,n. bread baked with cheese inside.
roti manis,n. sweet bread.
roti tawar,n. unsweetened bread.
roti-kalong,n. brass-knuckles (of cast lead).
roto,n. giant grouper.
roto mera,n. A kind of roto fish.
rotsoe,n. mischievous nonsense.
royaal,"adj. squandering, prodigal."
ruang,n. bilge. cf. timba ruang.
ruas,see roas.
rubu,v. 1. fall over. Pohong kayu itu su rubu. = That tree has fallen over. 2. (of teeth) fall out. Ontua pung gigi su rubu samua. = All her teeth have fallen out.
rugi,n. loss. v. to suffer loss. Ant. untung.
rujak,"n. salad of fruit with a very spicy sweet sauce, usually eaten in the afternoon."
ruji,vt. weave bamboo lath into (the upright pieces of nibong set in a wal for plastering).
ruk-ruuk,adj. grouchy.
ruk-ruuk tua,n. old grouch.
ruma,n. 1. house. 2. building.
ruma dapor,n. stand-alone kitchen.
ruma kacil,n. playhouse.
ruma saki,n. hospital.
ruma tagantong,n. house built on piles.
rumpu,n. 1. grass. 2. rubbish.
rumpu alang-alang,n. alang-alang grass. Also kusu-kusu.
rumpu kuda,n. a short grass.
rumpu kusu-kusu,"n. a giant grass, Imperata arundinacea Cyrill. Also rumpu alang-alang."
rumpu mimosa,n. snagging mimosa vines that grow in high grass.
rumpu piso,n. sharp grass.
rumpu sunga-sunga,n. razor grass.
rumpu-rumpu,n. 1. weeds. 2. scraps of rubbish.
runut,n. 1. a textile-like fiber mat is found on coconut trees. 2. rag used for lifting pots from the fire.
rupa,n. appearance.
rusa,"n. A deer, the Sunda sambar, Cervus timorensis moluccensis."
rusu,n. rib.
sa,adj. one. Ambil kayu sa panggal ka mari. = Get a piece of wood (and bring it over here).
saa,"n. just, only. Tiga rupia saa. = Only three rupiahs."
saak,n. 1. pocket. 2. sack.
sabaab,"n. cause, reason. sbr. because. cf. tagal."
sabala,"n. 1. half. 2. location, place. Sabala mana? = Where? adj. one sided."
saban,adj. every. Sabang hari = every day.
sabantar,adv. after while.
sabar,n. patience. v. be patient. adj. patient.
sabarang,"prn. any one of a group. Ambel sabarang jua. = Just take any one of them. det. 1. either, any. Ini bukang sabarang orang! = This is not just any man! 2. impolite, inconsiderate, unthinking. Os manusia sabarang! = You impolite fool! adv. in an unauthorized or improper manner. Jang maso sabarang di situ. = Don't go in there without permission."
sabarang dapa,adv. in any way one can.
sabatang,adj. huge.
sablaa,see sabalaa.
sabole-bole,adv. as much as possible.
sabong,n. soap.
sabong cuci,n. laundry soap.
sabong karbool,n. Lifebuoy bath soap.
sabong mandi,n. bath soap.
sabua,"n. 1. (of round objects) one. Ambel roti sabua. = Take a loaf of bread. 2. a temporary shelter, as for cooperative work, a party, etc. PAN sapaw, field hut."
sacubi,n. a pinch. Gula sacubi = A pinch of sugar. cf. cubi.
sadaap,adj. delicious.
sadar,"v. aware, conscious. Tar sadar = unconscious."
sadekaa,n. alms.
sadia,v. prepare. adj. ready.
sadiki,adv. a little.
sadiki lai,adv. nearly. Sadiki lae ontua mati. = He almost died.
sadiki-sadiki lai,adv. in a little while. Sadiki-sadiki lae ontua datang. = In a little while he came.
saekor,det. (of animals) one. Anjing saekor = a dog.
sagee,adv. (goyang sagee).
sagero,n. mayang palm wine.
sageru,see sagero.
sagu,n. 1. The sago palm tree (see pohong sagu). 2. The processed pulp of the sago palm tree.
sagu gula,n. sago meal baked in a mold with areng sugar and coconut.
sagu kalapa,"n. Sago meal containing areng sugar and grated coconut, baked in a mold (see porna sagu)."
sagu kasbi,n. meal similar to sago meal but made from cassava.
sagu lempeng,n. brick of sago meal baked in a mold.
sagu luhu,n. see sagu tumbu.
sagu manta,n. raw sago meal.
sagu raja,A kind of sago palm.
sagu tumbu,"n. a confection made from sago meal, kanari nuts, and areng sugar."
sagueer,see sagero.
saguero,see sagero.
sahani,n. green palm frond (Oma).
sahara,n. wooden box for cargo.
saika,n. (of bundles) one. Kayu saika = a bundle of firewood.
sakaang,"adv. probably, almost certainly. Sakaang ontua seng mau. = He probably won't agree. Also skaang."
sakakar,see skakar.
saki,v. 1. hurt. 2. be sick. adj. 1. hurting. 2. ill.
saki bulang,v. menstruate. Also mens or saki mens.
sakola,see skola.
saksi,n. v. witness.
saku,n. 1. a marine garfish somewhat larger than the julung. 2. pocket.
Sakutu,n. the Allied armed forces during WW2.
sala,n. error. v. make a mistake. adj. culpable. adv. missing the mark.
Salaam,n. Moslem. adj. Moslem.
salaf,n. (medical) salve.
salak,"n. A palm and its fruit, Zalacca edulis."
salalu,adv. always.
salamaker,"n. dried leaves sold commercially, the bitter decoctions of which are used to treat constipation (Asilulu)."
salamanya,adv. always.
salamat,"n. sincere greetings, best wishes. v. be or become safe and free from troubles and danger."
Salasa,n. Tuesday.
salatang,n. south wind. adj. south.
salatang tumbu,vi. The south wind pounds (the man is drunk).
salawaku,n. 1. A tree. 2. a Moluccan war shield.
salawar,n. tainted with bad luck by the breaking of a taboo.
salawena,v. 1. move busily about. 2. walk slowly(?)
saleep,v. drag on the ground.
salekar,"n. cubbyhole, interior corner."
salekar paha,n. crotch.
salele,v. decorate with coconut palm fronds for a public event. to wear a scarf or a piece of cloth diagonally across the chest.
saleser,n. a kind of marbles game(?)
salmaneet,n. see ikang salmanet.
salobar,adj. brackish.
salokang,n. gutter.
saloot,see sloot.
saloyer,n. diaper(?).
samama,see kayu samama.
samangka,n. watermelon. Also pateka.
samata-mata,adv. altogether.
sambar,v. attack from beneath like a predatory fish.
sambilang,n. and adj. nine.
sambong,"v. connect, join end-to-end."
sambunyi,vt. hide. cf. basambunyi.
sampe,v. 1. arrive. 2. reach to. Ujong tali sampe di pohong ka seeng? = Does the end of the rope reach to the tree? 3. stop. Sampe jua! = Please stop! adj. enough. Su sampe ka baloong? = Is that enough yet? sbr. until. Cari sampe dapa. = Seek until (you) find.
sampuu,n. shampoo.
samu api,n. red ant.
samu mera,n. red ant.
samua,prn. all.
samuu,n. ant.
sanaang,"n. pleasure, preference. adj. happy."
sanahur,n. game trail. Babi pung sanaxur = game trail of a pig. (Oma).
sanapang,n. gun.
sanapang ciis,n. pellet gun.
sandaal,n. sandal.
sandal geta,n. rubber sandal.
sandal kulit,n. leather sandals.
sandar,"v. 1. lean against. Jang sandar kaca. = Don't lean against the glass. 2. berth, dock. Kapal ada sandar. = The ship is docking."
sandiri,adj. alone. adv. alone.
sanelat,"n. gap. PAN banelat, fish-corral, screen trap for fish."
sangaja,v. jest. adv. on purpose.
sange-sange,n. barb. adj. barbed. Tombak sange-sange = barbed spear.
sangka,vt. 1. suspect. Jang sangka beta. = Don't suspect me. 2. suppose.
sangko,v. secure by hooking.
Sanin,n. Monday.
saniri,n. traditional village council.
santaa,v. jerk.
santang,n. coconut milk.
sao,n. stone anchor. cf. jangkar.
sapa,prn. (interrogative) who.
saparu,n. one fourth. Also sasele.
sapatu,n. see capatu.
Saptu,n. Saturday.
sapu,n. broom. v. 1. stroke. 2. sweep.
sapu gamutu,n. broom made of areng fiber.
sapu lidi,n. broom made of coconut leaf midribs.
sapu tangang,see lenso.
"sapul dua, sapul tiga, sapul ampa, sapul lima, sapul anang, sapul tuju, sapul dalapang, sapul sambilang","n. and adj. 12, 13, 14, 15, 16, 17, 18, and 19, respectively."
sapul satu,n. and adj. eleven.
sapulu,n. and adj. ten.
sarampa,n. measles.
Sarane,n. Christian. adj. Christian. vi. be baptized. Ana itu su sarane ka baloong? = Has that child been baptized yet?
saratus,n. and adj. a hundred.
saree,"n. lemongrass, Cymbopogon citratus."
saribu,n. and adj. a thousand.
sarobot,vrb. push forward without regard for consequences.
saroma,n. 1. forest shelter. 2. trauma(?)
sarong,"n. 1. sheath. Sarong parang, Sword sheath. 2. wrap-around skirt worn either by women or men."
sarta,sbr. as soon as.
sarui,n. see ikang sarui.
saruru,"v. trim off (as the leaves from a palm branch, etc.)."
sarut,"v. drag forcefully upon the ground. PAN saRud, scrape, rub against."
sarutu,n. cigar. cf. kukis sarutu.
saruut,see sarutu.
sasaa,adj. 1. cramped. 2. suffer constriction in the throat. Makang kasbi goreng sampe sasaa. = Eat fried cassava until constricted in the throat.
sasaja,adv. over and over again.
sasak,adj. (of women's hair) worn in a beehive style. cf. toni.
sasawi,"n. A vegetable, the mustard green."
sasele,n. a fourth part. Also saparu.
sasi,n. restriction on use of public resources set in place by the raja and maintained by village kewangs. v. place such a restriction upon. Dong sasi kalapa di Aboru. = They have restricted the gathering of coconuts at Aboru.
sasiri,n. A kind of very virulent and dangerous abcess.
sate,"n. satai, a kind of skewered meat food."
satenga,n. one half.
satroop,n. pink syrup commonly used on shaved ice
satu kali,"adv. all at once. Dia satu kali jatu, kapala pica. He fell all at once, and broke his head. sbr. and immediately. Beta lia, satu kali beta kaget! = As soon as I saw it, I was shocked!"
satu-satu,prn. each and every one. Satu-satu mau tunju laga. = Each one wanted to show off his prowess.
sawai,"adj. tilted, slanting. Also serong."
saxaro,n. reef. cf. tanusang.
saya,itj. a respectful answer upon hearing one's name called.
sayang,v. 1. be moved with compassion. Sayang di lale = feel moved with compassion in the heart. 2. feel compassion towards. Sayang dia lawang! = (I) feel much love/compassion for him! itj. very sad!
sayor,n. vegetable used for food.
sayor bayam,n. spinach.
sayor matel,n. a vegetable.
sayor patola,"n. A vegetable, Luffacylindrica."
sayor tomat,n. tomato.
se,see ose.
sedu,vi. scoop into a pile(?)
seeng,"adv. no, not."
seer,v. 1. take aim. 2. take aim at. Also mek.
segon,adj. Vietnamese. Ayam segon = a kind of domesticated fowl.
sela,v. Fish by chasing after schools of tunafish in order to drag a lure through them. adj. trolling. Parau sela - one-man trolling canoe.
sele,"n. one fourth part. Also sasele, saparu."
semang,n. outrigger float.
sempe,n. earthenware vessel.
sen,n. cent.
seng,n. galvanized metal sheet material.
senta,"n. (nautical) rib band, those lengthwise braces which are affixed about every 12 cm. across the ribs of a boat hull."
senter,n. flashlight.
senti,n. centimeter.
sepa,v. kick. Also tandaang.
serfeet,n. napkin.
sero,n. large wood and bamboo weir placed in the shallows to catch fish.
serong,"n. oblique, slanted, tilted. Also sawai."
serta,"adv. just as. Serta dia mau pele bagini, taruus beta balaa lae. = Just as he was about to block, I let him have it."
setang,n. evil spirit or ghost.
sewa,"n. rent. v. hire, rent"
sial,adj. plagued by bad luck.
sibor,n. dipper.
sibu-sibu,n. catabatic breeze blowing down off the land at night and into the morning.
sibur,see sibor.
Sidi,v. To complete catechesis (be confirmed) in the Moluccan Protestant Church.
sifat,n. personality trait.
siha,adj. brown. Kusu siha = Brown phalanger.
sika,n. brush. v. 1. brush. 2. (slang) eat up ravenously.
sikat,n. see sika.
siku,n. angle. v. elbow (something).
siku tangang,n. elbow.
sikuda,n. see ikang sikuda.
silender,n. mechanical cylinder.
silet,n. razor.
siloki,n. jigger. Sopi satu siloki jua! = May I have a jigger of palm spirits?
sinama,prn. same name (person of same name).
sinar,n. ray of light.
singaro,see ikang singaro.
sinoli,"n. 1. sago meal heated in a wok, usually together with grated coconut. 2. A similar preparation made from cassava meal."
sinyo,n. lad (often a form of address. Sinyo Ambong = A lad from Ambon.
sio,itj. alas!
sipat,n. boundary.
sirang,"vt. pour a liquid upon. Sirang akang deng aer, Pour water on it."
sirap,n. roof shingle.
siri,"n. A climbing plant, Piper betle, whose leaves are chewed with the betel nut."
siri isi,n. A wild but masticatory betel noted for its fruits.
siri kaya,see bua nona.
siri nitu,"n. A non masticatory wild betel, the fruit of which is used for medicinal teas and the leaves for poultices for broken bones."
siri popar,n. see kayu siri popar.
siri talang,"n. A non masticatory wild betel, the root of which is used as incense."
siri utang,"n. A wild, bitter, masticatory betel leaf."
sirkaya,see bua nona.
sirpopar,see siri popar.
siselang,n. A kind of basket. cf. timbil.
sisi,"n. 1. side. 2. supernatural influence. Ontua pung sisi kuat. = He had strong magical influence. v. 1. shove (something) in place between two objects or layers. 2. lever out (as coconut meat) from the shell. PAN isi, to scrape, as coconut meat from a shell."
sisir,n. 1. comb. 2. cock's comb. v. comb.
skaaf,n. carpenter's plane. v. plane.
skaang,adv. see sakaang.
skakar,"adj. stingy. Also sakakar, skikir, kawa waja."
skaniir,n. hinge. Also hengsel.
skareek,"v. be shocked with surprise. Also iskareek, skrek."
skaruuf,n. mechanical screw.
skaruup,see skaruuf.
skeleng,adj. (of the eyes) crossed. Also juling.
skikir,see skakar.
skoim,n. froth.
skola,n. school.
skoop,n. v. shovel.
skoot,n. 1. kick. 2. gunshot. v. kick. cf. tandaang.
skosteng,n. glass cylinder protecting the flame of a lamp.
skrek,v. be surprised. Also skareek.
skrobi,"v. depart quickly, get out, leave."
skrupmees,n. screw driver Also obeng.
skruup,see skaruup.
skuci,"n. 1. skiff. 2. dinghy, ship's boat."
slaah,n. opportunity. Ontua tinggal jaga slaah saja. = He just waited for an opportunity.
slaak,"adv. in a single operation or cycle. sbr. with the immediate result that. Tacigi itu slaak pucat. = Surprised at that, (he) immediately paled. n. glib response. Dia pung slaak kata = He glibly responded."
slaak bagini,adv. all of a sudden. Slaak bagini dong dua skrek.
slenger,n. crank.
sloot,n. & v. lock. Also saloot. cf. konci.
smaak,n. flavor. adj. tasty.
smaput,"v. 1. faint, swoon. 2. get knocked unconscious."
smerlap,n. (pejorative) wipe rag.
snuup,vi. snack.
soa-soa,"n. monitorlizard, Varanusindicus. Also puel."
soa-soa pake layar,"n. A lizard with a crest on its back, perhaps Lophuraamboinensis."
soami,"n. grated and pressed cassava steamed in leaves, a traditional food of the Buton people."
soldadu,n. soldier.
solder,n. v. solder.
soldor,n. attic.
sombar,"n. shadow, shade."
sombayang,v. pray.
Sondak,n. Sunday.
Sondak Skool,n. Sunday school.
sondo,n. spoon.
sondor,prp. without. Papeda sondor ikang = papeda without fish.
sondor stoom,adj. 1. (Of a ship) without blowing (its) whistle. 2. Without uttering a required greeting.
songko,"n. the black, rimless felt hat worn by Moslems."
sono,v. sleep. cf. tidor.
sonto,v. 1. strike (the foot) against. cf. tasonto. 2. touch.
sontong,"n. squid, cuttlefish."
sopeer,n. 1. automobile driver. 2. chauffeur.
sopi,n. arenga palm liquor. Also cap tikus.
sopu,v. temper by dipping (hot metal) in fluid.
soro,"n. white ant, termite."
sorong,v. 1. shove. sorong akang kamari. = Shove it over here. 2. press an attack.
sosi,n. finished timber ready to be fastened into place. cf. sualap.
sosiri,"n. arthritis, rheumatism. v. be afflicted with rheumatism."
soso,v. elbow one's way in. Ontua soso ka muka. = He elbowed his way forward.
spaat,adj. acid to the taste. cf. asang.
spalak,"n. splint. v. splint, put (a broken limb) in a cast."
spanen,adj. exciting.
speit,vt. shoot a fluid at. Speit bunga = Spray flowers with insecticide.
spook,n. spook.
sprei,n. bed sheet.
spuut,adj. moving fast.
srikaya,see bua nona.
staan,n. stance.
staar,v. start up (an engine).
staat,n. town.
stamplas,n. bus stop.
staraat,see straat.
starika,n. iron (for clothes). v. 1. iron (a piece of cloth or clothing). 2. (slang) eat up.
staroom,n. 1. electric current or potential. 2. electric shock. Also stroom.
steel,"v. 1. set or adjust (a knob, screw, etc.). 2. show off in dress, stance, or style. cf. basteel."
steker,n. (electrical) plug.
steleng,n. fortification.
sterek,adj. strong in physique.
stiir,n. steering wheel. v. steer.
stoom,vi. (of a ship) blow (its) whistle.
stoomwaals,n. steam roller.
stoop,v. stop. Also barenti.
stopflees,n. a kind of stoppered glass jar.
storeng,"n. static sound, as on a radio, interference."
stori,vi. speak.
stout,n. punching blow of the fist. Dia dapa stout satu kali mulu pica = He received such a blow that his mouth was cut open.
straat mata ampa,n. intersection.
streep,n. stripe.
streng,adj. strict.
stroom,n. electric current. Ontua mati kanal stroom = he died of electric shock. Also staroom.
su,"adv. 1. past-tense marker. Dia su pii = He has gone. 2. yet, now. Su galaap ka balong? Is it dark yet? cf. suda."
sualap,"n. unfinished timber. n. large, rough-hewn timber to be sawed into beams or planks: slab. cf. sosi."
suam-suam kuku,adj. warm. Mandi aer suam-suam kuku.
suang,n. fence post.
suanggi,n. 1. malevolent ghost that wanders out of a person's body while he/she is asleep. 2. person holding malicious magical powers.
suda,"adv. 1. passed, finished, already happened. 2. enough (no more please). cf. su."
suet,n. perspiration.
suka,"n. preference. v. like. adv. habitually. Suka bakupukul = fights a lot, has a habit of fighting."
sukong,see pohong sukong.
suku,n. 1. one fourth. 2. race. cf. sele.
sukung,see pohong sukong.
sukung utang,n. A wild breadfruit.
sukuur,n. profound thanks.
suling,"n. flute, fife."
sumasi,n. a marine fish.
sumbing,adj. blunted from striking a hard object.
sumbu,n. wick.
sumbur,v. 1. spray. 2. chew up (something deemed magic) and spray it out of the mouth onto (something upon which magic is to be worked).
sumpit,n. blowgun.
sungga,n. sharpened bamboo stave planted in the ground.
sungga-sungga,n. see rumpu sungga-sungga.
sunggu,adv. surely.
surat,n. 1. document. 2. letter.
surkaya,"n. 1. A kind of fruit, the soursop. 2. A kind of sweetmeat made with eggs, flour, and coconut cream. Also bua nona. cf. pohong surkaya."
suru,v. send or order someone to do something. Ontua suru beta bali roko. = The old man ordered me to buy (him some) cigarettes.
surutu,n. cigar.
susa,n. difficulty. v. be sad.
suster,n. 1. Roman Catholic nun. 2. female nurse in a hospital.
susu,n. 1. breast. 2. milk (aer susu). v. suckle.
susung,v. stack.
sutra,n. silk.
suup,n. soup.
ta-,prefix to form past participles from verb roots.
taas,n. bag.
taas baribot,n. a kind of plastic bag that makes a lot of noise.
tabadiri,adj. erect. Bulu badang tabadiri. = Hair standing on end. Butu tabadiri = erect penis.
tabakar,v. 1. catch fire. 2. be burnt.
tabaku,n. tobacco.
tabaku utang,"n. A non domesticated plant, Blumea balsamifera."
tabalaa,vi. and adj. be or become split.
tabale,"adj. 1. turned upside-down. 2. altered, changed. cf. bale."
tabalee,adj. and v. To be or become entwined or entangled. cf. balee.
tabangong,v. wake up suddenly.
tabaos,v. proclaim loudly to the village (the job of the marinyo).
tabaus,see tabaos.
tabe,n. greetings.
tabea,itj. good-bye.
tabembeng,"adj. hanging down (especially in folds), sagging. cf. rembeng."
tabera-bera,v. be afflicted with diarrhea.
tabuang,v. 1. be cast aside or away. 2. be cast up onto a beach by the tide. cf. talampar.
tabuka,v. open. Bunga tabuka. = The flower opens. adj. open.
tacere,v. be separated.
tacigi,v. 1. be jerked. 2. be badly shocked or surprised.
tacolo,v. 1. be dipped. 2. be swamped (as a canoe in rough waves).
tacu,see kuali.
tacucu,vi. and adj. 1. be or become impaled. 2. throb as a pain. cf. cucu.
tacungkel,n. get dug at with a prying motion.
tada,"v. Position so as to catch, hold, or receive something descending from above."
tadoo,"adj. 1. silent. 2. quiet, calm. Aer masing tadoo lawang! = The sea is very calm!"
tadudu,v. arrive at a sitting position as by being forced down or by losing balance.
taflaak,n. table cloth. cf. farlaak.
tagae,"v. snag, be hooked. Beta tagae duri rotang. = I got snagged on some rattan thorns. Matakael tagae di panta air masing. = Fishhook snagged on the sea bottom."
tagai,see tagae.
tagal,sbr. because. cf. sabaap.
tagalasi,n. covered provisions box.
tagalaya,n. lunch box or other box to contain foodstuffs or spices.
tagantong,v. be hanging.
tagaris,v. be or become scratched.
tagepe,"adj. caught or held in the gap between two objects, clamped, cramped. vi. become caught between two objects."
tagoso,vi. be scraped.
tagulung,"a. wound up, curled up."
taha,"adv. no, not, none. (old language)."
tahaha,n. drying reef (Oma).
tahang,"v. 1. hold. 2. withstand, endure."
tahang mata,"v. remain awake. Also matawana, bagadang."
tahek-hek,"v. 1. hiccup. 2. sob with choking sounds. 3. make a choking sound laughing. Tatawa sampe tahek-hek = laugh until making a choking sound. PAN hikhik, snicker, giggle; high-pitched laughter."
tahela,"n. attractiveness. Nona itu pung tahela biking Tete cilaka. = That girl's attractiveness got Tete into trouble. v. be pulled or drawn. adj. and adv. drawn out, or drawling, as speech, etc."
tahosa-hosa,v. be afflicted with heavy panting.
tahuri,"n. 1. conch shell, Strombus spp. 2. conch shell trumpet. 3. a fish(?) PAN tambuRiq, conch shell trumpet"
tai,n. any kind of excreta or by product.
tai arus,n. riptide.
tai besi,n. rust.
tai gigi,n. dental plaque.
tai idong,n. solidified nasal mucus.
tai kuku,n. dirt under the finger or toenails.
tai lalar,n. 1. mold spot. 2. freckle.
tai mata,n. solidified eye mucus.
tai minya,n. edible dregs left over in the manufacture of coconut oil.
tai puki,n. vaginal discharge or secretion.
tai talingang,n. ear wax.
tai tikus,n. and adj. a kind of knot joining the ends of two fishing lines.
tajang,adj. sharp.
tajangke,vt. catch (a disease).
tajatu,v. fall down suddenly.
taji,see taju.
taju,n. 1. spur (of a rooster's leg). 2. Vertical timber forming the framework of a boat's hull.
takajoo,"vi. be shocked or surprised. sbr. lest. Jang makang, takajoo racong. = Don't eat (it), lest it be poisonous. vt. be surprised by. Beta takajo ular di kamar mandi = I was surprised by a snake in the bathroom."
takal,n. boat tackle (Asilulu).
takanaal,v. 1. become entrapped. Maleo takanaal dodeso. = The Maleo bird was ensnared in a trap. 2. accidentally fall prey to supernatural powers. Takanaal setang di pohong baringing = Fell prey to an evil spirit at the banyan tree.
takangkang,"v. and adj. 1. be or become hindered, be or get hung up. Kalo seng takangkang disitu beta su sampe dari tadi. = If I hadn't gotten hung up over there, I would have arrived long ago. 2. be or become lodged in the throat. PAN kaka, cramps, stiffening of the limbs; rigor mortis."
takapa-kapa,"v. thrash about convulsively like a speared fish. (probably related to Buru ""kepan,"" wing). PAN kipak, flap the wings. PAN kepay kepay, to flap (wings, fins of fish, etc.)."
takarang,n. a volume measurement.
takaruang,"adj. without order, in disarray, disheveled. Rambu takaruang = with hair in disarray. adv. inapropriately. Jang bicara takaruang! = Don't speak inappropriately."
takaruang hadat,adj. outside the order of tradition.
takikis,vi. be struck a glancing (but scraping) blow. Ontua takikis pelor = He was grazed by a bullet.
takincing-kincing,"v. involuntarily pass urine, wet one's clothes. Tatawa sampe takincing-kincing = (she) laughed until she wet her panties."
takisu,adj. 1. pouting quietly. Ana dudu takisu. = The child sat pouting. 2. shy.
takonto-konto,v. have a fit of farting.
takoro,"v. shrink, shrivel, wrinkle. adj. wrinkled or wadded up. PAN kerut, shriveled, wrinkled."
takotang,v. be afraid. Also taku.
takser,vi. see takser.
taksir,vi. calculate approximately.
taktik,n. tactic.
taku,see takotang.
takurung,v. be confined in an enclosure.
talaang,v. swallow.
talaat,v. be late. adj. late. adv. late. Also laat.
talabukut,"n. nothing? Kas makang bini deng talabukut, Feed your wife talabukut (Oma)."
talaga,"n. lake, pond, mere."
talalo,see talalu.
talalu,v. be overly troublesome. adj. too much. adv. overly.
talamburang,adj. 1. strewn about. Barang-barang talamburang = things strewn about. 2. disheveled. Rambut talamburang = disheveled hair.
talamg,see burung talang.
talampar,v. be cast up or washed up onto the shore. cf. tabuang.
talanggera,"n. sea-wall (to protect houses, etc. from waves (Asilulu)."
talantang,adj. adv. face-up. Ant. tiarap.
talapak,n. sole or palm.
